SMILES,Solubility
CC(N(C(=O)C1=CC=C(C=C1)[N+]([O-])=O)C1=CC=CC=N1)C1=CC=CO1,Soluble
O=C(CSCC(=O)C1=CC=CC=C1)C1=CC=CC=C1,Soluble
CC1=C(C(=NN1)C1=CC=C(O)C=C1O)C1=CC=C2OCCCOC2=C1,Soluble
CN(C)C1=CC=C(C=C2N=C(OC2=O)C2=CC=CC=C2)C=C1,Soluble
CCOC(=O)C1=C(C)NC(=O)NC1C1=CC=CC(Br)=C1,Soluble
CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1,Soluble
IC1=CC=C(NC2=CC(=O)CCC2)C=C1,Soluble
O=C(N(CC1=CC=CC=C1)C1=CC=CC=N1)C12CC3CC(CC(C3)C1)C2,Soluble
CCOC1=CC=C(C=C(C#N)C2=NN=C3CCCCCN23)C=C1,Soluble
CC(=O)NC1=CC=C(C=C1)C(O)(C(F)(F)F)C(F)(F)F,Soluble
O=C1CSC(N1C1=CC=CC=C1)C1=CC=CS1,Soluble
O=S(=O)(CC(SC#N)C1=CC=CC=C1)C1=CC=CC=C1,Soluble
COCCNC(=O)COC1=CC=CC(OCCC(C)C)=C1,Soluble
CC1CC(NC2=CC=CC=C2)C2=CC=CC=C2N1C(=O)C1=CC=C(Cl)C=C1,Soluble
O=C1NN=C(N2CCCCCC2)C(=O)N1,Soluble
COC1=CC=CC(NC(=O)NC(=O)N(C(C)C)S(C)(=O)=O)=C1,Soluble
ClC1=CC=CC(NC(=O)NCC2=CN3C=CSC3=N2)=C1,Soluble
CC(C)OC(=O)C1=C(C)NC2=C(C1C1=CC=CC=C1F)C(=O)NC(=S)N2,Soluble
CN(C(=O)NC(=O)NC1=CC=C(Cl)C=C1)S(C)(=O)=O,Soluble
CC(C)N(C(=O)NC(=O)NC1=CC=CC=C1)S(C)(=O)=O,Soluble
CN1C2=C(C=CC=C2)N=C1C1=CC=C(Br)C=C1,Soluble
ClC(Cl)(Cl)C(NC(=O)C1=CC=CC=C1)N1C=NC=N1,Soluble
CN1C(=O)NC(C2=CC=CC=C2Cl)C2=C1CC(C)(C)CC2=O,Soluble
CCCCN(C(=O)NC(=O)NC(C)C1=CC=CC=C1)S(C)(=O)=O,Soluble
CCCCCN(C(=O)NC(=O)NC1C2CC3CC(C2)CC1C3)S(C)(=O)=O,Soluble
CC1=CC(C=C(C)N1C1=CC=C(Cl)C=C1)=C(C#N)C#N,Soluble
FC1=CC=C(C=C(C(=O)C2=CC=CC=C2)C2=NC3=C(N2)C=CC=C3)C=C1,Soluble
CN1C=CC=CC1=C(C#N)C1=NC2=C(S1)C=CC=C2,Soluble
COC1=CC(=CC(OC)=C1OC)C(=O)NC1=C(C=CS1)C#N,Soluble
CC1=CC(=O)NC(SCC(=O)C2=CC=CC=C2)=N1,Soluble
NC1=NC=C(C(=N1)N1CCCC1)[N+]([O-])=O,Soluble
Cl.CC(C)(C)C1CCC(CC1)OCC(O)CN1CCCC1,Soluble
OC1(CC=NN1C(=O)C1=CC=NC=C1)C(F)(F)F,Soluble
COC(=O)C1=CC=C(OC2=COC3=C(C=CC(O)=C3)C2=O)C=C1,Soluble
ClC1=CC=C(C=C(C#N)C2=NC3=C(CCCC3)S2)C=C1,Soluble
COC1=CC=C(C=C1)N1C(=O)C2C(OC3(C2C1=O)C(=O)C1=CC=CC=C1C3=O)C1=CC=C(C)C=C1,Soluble
NC1=NC=NC(NC2=CC=CC=C2)=N1,Soluble
O=C1CSC(N1CC1=CC=CC=C1)C1=NN(C=C1C1=CC2=C(OC1=O)C=CC=C2)C1=CC=CC=C1,Soluble
Cl.Cl.CC(C)C1=CC=C(OCC(O)CN2CCN(CC2)C2=CC=CC=C2)C=C1,Soluble
CC1=CC(C=C2C(=O)CCCC2=O)=C(C)N1C1=CC=CC=C1,Soluble
CC1=CC(C=C2C(=O)NC(=S)NC2=O)=C(C)N1C1=CC=C(F)C=C1,Soluble
CC1=CC(C=C2C(=O)NC(=S)NC2=O)=C(C)N1C1=CC=CC=C1C(F)(F)F,Soluble
CC1=CC(C=C2C(=O)OC(C)(C)OC2=O)=C(C)N1C1=CC=C(F)C=C1,Soluble
CCOC(=O)C1=C(C2=CSC(C)=N2)C(=O)C2=C(O1)C=C(O)C=C2,Soluble
CC1=NN(C(C)=C1OC1=CC=CC=C1O)C1=CC=C(C=C1)[N+]([O-])=O,Insoluble
ClC1=CC=C(NC(=O)N2CCCC3=CC(SC#N)=CC=C23)C=C1,Soluble
CC1=CC=C(C=C1F)C(NC(=O)N1CCCCCC1)C(Cl)(Cl)Cl,Soluble
COC1=CC=C(NC(=O)NC(C2=CC=C(C)C(F)=C2)C(Cl)(Cl)Cl)C=C1,Soluble
COC1=CC(C=C(C#N)C2=NN=C3CCCCCN23)=CC=C1O,Soluble
CCCCN(CCCC)C1=NC(N)=NC=C1[N+]([O-])=O,Soluble
COC1=CC(=CC=C1O)C1NC(=O)NC(O)(C1C(=O)C1=CC=CC=C1)C(F)(F)F,Soluble
COC1=CC(C=C(C#N)C2=NC3=C(CCCC3)S2)=CC=C1O,Soluble
OC1(NC(=O)NC(C1C(=O)C1=CC=CC=C1)C1=CC=C(Br)C=C1)C(F)(F)F,Soluble
O=C(NC1=CC(NC(=O)C23CCC(CC2)C3)=CC=C1)C12CCC(CC1)C2,Soluble
COCCN(CCOC)C(=O)COC1=CC=CC=C1,Soluble
CN(C)C1=CC=C(C=C2N=C(OC2=O)C2=CC=C(F)C=C2)C=C1,Insoluble
COC1=CC(=CC(OC)=C1)C(=O)C1=C(C)C(C(=O)C(F)(F)F)=C2C=CC=CN12,Soluble
Br.OC1=CC=C(C=C(C#N)C2=NN=C3CCCCCN23)C=C1,Soluble
CN1C(=O)N(C)C2=C(C(C3=C(N2)C2=CC=CC=C2C3=O)C2=CC=C(Cl)C=C2)C1=O,Insoluble
CC1=NC2=C(C=CC=C2)C(=O)N1C1=CC=C(C)C(Cl)=C1,Soluble
BrC1=CC=C(C=C2CCC(C(=O)NC3=CC=CC=C3)=C2N2CCOCC2)C=C1,Soluble
CCOC(=O)C1=C(NC(=O)C2=CC=C(C=C2)[N+]([O-])=O)N(CCOC)C2=NC3=C(C=CC=C3)N=C12,Soluble
NC1=C(C#N)C2=NC3=C(C=CC=C3)N=C2N1C1=CC=CC=C1Cl,Soluble
COC1=CC(C=C2CN(C)CC(=CC3=CC(OC)=C(OC)C(OC)=C3)C2=O)=CC(OC)=C1OC,Soluble
CC(N1C(=O)C2=CC=CC=C2C1=O)C(=O)N1CCN(C)CC1,Soluble
CCOC1=CC=C(NC(=O)COC2=CC=CC(OC)=C2)C(=C1)[N+]([O-])=O,Soluble
CC1=C(N2C=CC=CC2=C1C(=O)C(F)(F)F)C(=O)C1=CC=CC=C1,Soluble
CC(=O)C1=C(C)N(C2=C1C=C(O)C=C2)C1=CC=CC=C1,Soluble
COC1=CC=C(C=C1OC)C1C2=C(OC(N)=C1C#N)C1=C(S2)C=CC=C1,Soluble
CC(=O)C1=CC=C(C=C1)C1=CC=C(O1)C=C(C#N)C1=NN=C2CCCCCN12,Soluble
CN1C2=C(C=CC=C2)N2C1=C(C#N)C(=O)C1=C2C=NC(=N1)N1CCOCC1,Soluble
CN(C)C1=CC=C(NC(=O)C2=CC3=C(S2)N(N=C3C)C2=CC=CC=C2)C=C1,Soluble
O=C(NCC1=CC=CC=C1)C1=CC=C2C(=O)C3=CC=CC=C3S(=O)(=O)C2=C1,Soluble
CN1C2=C(C=CC=C2)N2C1=C(C#N)C(=O)C1=C2C=NC(=N1)N1CCCCC1,Soluble
CC1=NN(C(N)=C1C1(O)C(=O)NC2=C1C=C(Cl)C=C2Cl)C1=CC=CC=C1,Soluble
COC1=CC=CC(NC(=O)C2=NC(SC)=NC=C2Cl)=C1,Soluble
COC1=CC=C(CCC2(C)NC(=O)NC2=O)C=C1,Soluble
COC1=CC=C(NC(=O)C(C)NC(=O)C2=CC=CC=C2NC(=O)C2=CC=CO2)C=C1,Soluble
CN(C)C1=CC=C(CNC2=NC3=C(C=CC=C3)N2CCN2CCCCC2)C=C1,Soluble
CC1=NN(C=C1C=C1C(C)=NN(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,Soluble
ClC1=CC=C(C=C1)C1CC(N2N=NN=C2N1)C1=CC=C(Cl)C=C1,Soluble
CC1=C(OC2=C1C=CC=C2)C(=O)N1CCCCC1,Soluble
[O-][N+](=O)C1=CC(=CC=C1N1CCOCC1)C(=O)NC1=NC2=C(S1)C=C(Cl)C=C2,Soluble
CN1C(=O)N(CCOC2=CC=C(C)C=C2)C2=C1C=CC=C2,Soluble
CN1C(=O)N(CCOC2=CC=CC=C2)C2=C1C=CC=C2,Soluble
O=C1OC(=NC1=CC1=CC=C(C=C1)N1CCOCC1)C1=CC=CC=C1,Insoluble
Cl.CC1CCCC(C)N1CC(O)COCCC12CC3CC(CC(C3)C1)C2,Soluble
CCCCN(CCCC)C(=O)C1=CC=C2C(=O)C3=CC=CC=C3S(=O)(=O)C2=C1,Soluble
CCOC=CC(O)(CNC(=O)OCC)C(F)(F)F,Soluble
CCSC1=NN=C2C(OC(NC3=CC=CC=C23)C2=CC=C(F)C=C2)=N1,Soluble
OC1=CC=C(C=C2SC3=CC=CC=C3C2=O)C=C1,Soluble
CN1C(=O)N(CCOC2=CC(C)=CC=C2)C2=C1C=CC=C2,Soluble
Br.CC1CCCC(C)N1CC1=CN2C=CC(Cl)=CC2=N1,Soluble
CC(=C)C1=CC=CC(=C1)C(C)(C)NC(=O)NCCC1=CC=CC=C1,Soluble
COC1=CC(C=C2SC3=CC=CC=C3C2=O)=CC=C1O,Soluble
CCC1=NC2=C(C3=C(CCC3)S2)C2=NNC(=S)N12,Soluble
CCC1=NN=C2N1N=C(C1=CC=C(C)C(C)=C1)C1=C2C=CC=C1,Soluble
CCOC(=O)C1=CSC(NC(=O)C2=CC3=C(OC2=O)C=CC=C3)=N1,Soluble
BrC1=CC=C(OCC(=O)NC2=CC=CC=C2C2=NC3=C(N2)C=CC=C3)C=C1,Soluble
COC1=CC=C2C(NC3=CC=CC=N3)OC(=O)C2=C1OC,Soluble
O=C(C1C(C2=CC=CC=C2)C(C#N)(C#N)C2C=CC3=CC=CC=C3N12)C1=CC=CS1,Soluble
Br.O=C(CN(CC1=CC=CC=C1)C1=NCCS1)C1=CC=CC=C1,Soluble
CCOC1=CC=C(C=C1)C(=O)C(C)SC1=NC(C)=CC(=O)N1,Soluble
O=C1NC(C2=CC=CC=C2)C(C2=NC3=C(N2)C=CC=C3)=C(N1)C1=CC=CC=C1,Soluble
COC1=CC=C(C=C1)N(C(=O)NC1=CC=C(Cl)C=C1)C1=NCCC1,Soluble
NC1=C(C#N)C2=NC3=C(C=CC=C3)N=C2N1C1=CC=CC=C1,Soluble
NC1=C(C#N)C2=NC3=C(C=CC=C3)N=C2N1C1=CC=C(Br)C=C1,Soluble
CC1=CC=CC(=C1)N1C(N)=C(C#N)C2=NC3=C(C=CC=C3)N=C12,Soluble
CCCCCN1C(N)=C(C#N)C2=NC3=C(C=CC=C3)N=C12,Soluble
COC1=CC=C(C=C1)C(=O)C(C)SC1=NC(C)=CC(=O)N1,Soluble
BrC1=CC=C(OCC(=O)NC2=NN=C(S2)C2=CC=CN=C2)C=C1,Soluble
CC1=NN(CC(O)CN2C3=C(C=CC=C3)C3=C2C=CC=C3)C(C)=C1,Soluble
NC1=NC2=C(C=CC=C2)N1CCOC1=CC=CC=C1,Soluble
FC(F)(F)C1=CN=C(NC(=O)C=CC2=CC=C(Cl)C=C2)C(Cl)=C1,Soluble
CCCCCN(C(=O)NC(=O)OCC1COC2=CC=CC=C2O1)S(C)(=O)=O,Soluble
CN(C)C1=CC=C(NC2=NC3=C(C=CC=C3)N=C2NS(=O)(=O)C2=CC=CS2)C=C1,Soluble
CC(NC(=O)C1=CC=C(F)C=C1)C12CC3CC(CC(C3)C1)C2,Soluble
OC(=O)COC1=CC=CC=C1C=C1N=C(OC1=O)C1=CC=CC=C1,Soluble
OCCNC1=NC2=C(C=CC=C2)N1CC1=CC=CC=C1,Soluble
COC1=CC=CC=C1N1C(=O)CC(NC2=CC=C(C=C2)N2CCOCC2)C1=O,Soluble
CCCCN(CCCC)CC(=O)C(C#N)=C1NC(=CS1)C1=CC=CC=C1,Soluble
O=C(CN1CCCC1)C(C#N)=C1NC(=CS1)C1=CC=CC=C1,Soluble
COC1=CC=CC=C1N1CCN(CC(=O)C(C#N)C2=NC(=CS2)C2=CC=C(Br)C=C2)CC1,Soluble
[O-][N+](=O)C1=CC=C(C=C2N=C3CCCCCN3C2=O)C=C1,Soluble
CCCCN(C)CC(=O)C(C#N)=C1NC(=CS1)C1=CC=CC=C1,Soluble
ClC1=CC=CC(NC(=O)C2CC3CCCC(C2)C3=O)=C1Cl,Soluble
CC1=NC(SC(F)F)=C2C3=C(CCCC3)SC2=N1,Soluble
O=C1NC2=CC=CC=C2C1=C(C#N)C1=CC=CC=N1,Soluble
BrC1=CC=C(C=C1)C(=O)CSC1=NC2=C(N1)C=CC=C2,Soluble
[Br-].CC1=C(N2C=CC=CC2=N1)C1=CSC([NH2+]C2=CC=C(Cl)C=C2)=N1,Soluble
O=C(NCC1=CC=CC=C1)[C@H](CC1=CC=CC=C1)N1C(=O)C2=CC=CC=C2C1=O,Soluble
[Br-].CC1=NC(C)=C(S1)C1=CSC([NH2+]C2=CC=CC=C2)=N1,Soluble
CC1=CC(=O)C=C(C)N1C1=CC=C(Cl)C(Cl)=C1,Soluble
CC1=CC=C(C=C1)C(=O)NC(NCC1=CC=CC=C1)C(Cl)(Cl)Cl,Soluble
CN(C)C1=C(N=C(O1)C1=CC=CC=C1)S(=O)(=O)C1=CC=CC=C1,Soluble
COC1=CC=C2C(=O)N(C(=O)C2=C1OC)C1=CC=C(Cl)C=C1,Soluble
OC1(CC=NN1C(=O)C1=CNC2=C1C=CC=C2)C(F)(F)F,Soluble
CC1=CC=C(C=C1C)N1CN=C2SCC(=O)N2C1,Soluble
NC1=NC2=NC3=C(C=CC=C3)N2C2(CCCCC2)N1,Soluble
CC1(C)CC2=C(SC3=C2C2=NC(COC4=CC=CC=C4)=NN2C=N3)C(C)(C)N1,Soluble
CC1(C)CC(=O)C2=C(C1)NC1=CC=CC=C1NC2C1=C(O)C=CC2=C1C=CC=C2,Soluble
FC(F)(F)C(=O)C1=CC(C#N)=C(SCC=C)N=C1C1=CC=CC=C1,Soluble
COC1=CC=CC(C2N=C(N)NC3=NC4=C(C=CC=C4)N23)=C1O,Soluble
O=C1N(CSC2=NC=NC3=C2C2=C(CCCC2)S3)C(=O)C2=CC=CC=C12,Insoluble
COC(=O)C1=C(C)NC2=C(C1C1=CC=C(O)C(OC)=C1)C(=O)CC(C)(C)C2,Soluble
CCC(C)N1C(NC(=O)C2=CC=C(Br)O2)=C(C#N)C2=NC3=C(C=CC=C3)N=C12,Soluble
C(CC1=NC2=C(N1)C=CC=C2)CC1=NC2=C(N1)C=CC=C2,Soluble
CCCCSC1=C(C=C(C(=O)OCC)C(=O)N1)C#N,Soluble
[O-][N+](=O)C1=CC=C(O1)C(=O)N1CCC2=CC=CC=C2C1,Soluble
COC1=CC=C(C=C1)C(=O)NC(=O)NC1=NC=CC=C1C,Soluble
CC1CN(CC(C)O1)C1=NN=C(C2=CC=CC=C2)C2=C1C=CC=C2,Soluble
FC(F)SC1=NN=C(C2=CC=CC=C2)C2=C1C=CC=C2,Soluble
CC1CN(CC(C)O1)C1=NC(C)=NC2=C1C1=C(CCC1)S2,Soluble
ClC1=CC=C2OC(=O)C(=CC2=C1)C1=NN=C(NC2=CC=CC=C2)S1,Soluble
OS(O)(=O)=O.O=C1C(CCCC1=CC1=CC=CS1)=CC1=CC=CS1,Soluble
COC1=CC=C(C=C1OC)C1=NOC(COC(=O)C2=CC=C(Br)C=C2)C1,Soluble
CC(C)=C1SC(=NC1=O)N1CCN(CC1)C1=CC=CC=C1,Soluble
Br.CC1=CC=C(NC2=NC(=CS2)C2=CC=C(Cl)C=C2)C=C1,Soluble
CN1C(=O)N(C)C(=O)C(=CC2=C3N=C(N4CCCC4)C4=C(C=CC=C4)N3N=C2C)C1=O,Soluble
OC(=O)C(O)=O.CC1=CC=C(C=C1)S(=O)(=O)NC(C)(C)CN1CCC(CC2=CC=CC=C2)CC1,Soluble
OC(=O)C(O)=O.CN(CC(C)(C)NS(=O)(=O)C1=CC=CC=C1)C1CCCCC1,Soluble
CC1=CC=CC=C1C(=O)OCN1N=NC2=C(C=CC=C2)C1=O,Soluble
CC1=C(C#N)C2=NC3=C(C=CC=C3)N2C(NCCCO)=C1,Soluble
COC1=CC=C(C=C1)C1C2=C(NC3=C1C(=O)CCC3)N(N=C2C)C1=CC=CC=C1,Soluble
BrC1=CC=C(C=C1)N1C=CC(C=C1)=C(C#N)C#N,Soluble
O=C(NC1=NC=C(CC2=CC=CC=C2)S1)C1CCCO1,Soluble
ClC1=CC=CC(CC2=CN=C(NC(=O)C3CC3)S2)=C1Cl,Soluble
CCCCCN(C(=O)NC(=O)C1=C(N2CCOCC2)C(CCC1)=CC1=CC=CC=C1)S(C)(=O)=O,Soluble
O=C(NC1=NN=CS1)C1=CC2=C(CCCC2)S1,Soluble
OC(CN1CCCC1)CN1C2=C(C=C(Cl)C=C2)C2=C1C=CC(Cl)=C2,Soluble
CC1(C)CC2=C(SC(NC(=O)C3=CC=C(Cl)C=C3Cl)=N2)C(=O)C1,Soluble
CCOC1=CC=C2C(=O)NC(OC2=C1)(C1=CC=CC=C1)C(F)(F)F,Soluble
BrC1=CC=C(C=C(C#N)C2=NN=C(N2C2=CC=CC=C2)N2CCOCC2)C=C1,Soluble
FC(F)(F)C(=O)NC1=NC(=CS1)C1=CC=C(Cl)C=C1,Soluble
COCCC1=NN(C2=C(Cl)C=C(Cl)C=C2Cl)C(O)(C1)C(F)(F)F,Soluble
O=C(OCC1COC2=CC=CC=C2O1)C1=CC=C(C=C1)C(=O)C1=CC=CC=C1,Soluble
CCCSC1=NC(C2=CC=CS2)=C(C=C1C#N)C(=O)C(F)(F)F,Soluble
COC(=O)CN1N=CC(N(C)CC2=CC=CC=C2)=C(Cl)C1=O,Soluble
CCC1=CC2=C(S1)N=C(SCC(=O)C1=CC=CS1)N(C2=O)C1=CC=CC=C1,Soluble
Cl.CN1CCC2C(C1)C1=CC(C)=CC=C1N2C(=O)C1=CC=C(N2CCCCC2)C(=C1)[N+]([O-])=O,Soluble
CN(C)C1=CC=C(C=CC=C2C(C)=NN(C2=O)C2=CC=CC=C2)C=C1,Soluble
CCOC1=CC(=CC(OCC)=C1OCC)C(=O)N1C2CCN(C)CC2C2=CC(C)=CC=C12,Soluble
O=S(=O)(N1CCOCC1)C1=CC=C(C=C1)N1C=NN=N1,Soluble
FC1=CC=CC(F)=C1C(=O)OCC1COC2=CC=CC=C2O1,Soluble
Br.C(N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CSC(=N1)C1=CC=CC=C1,Soluble
COC1=CC(=CC=C1O)C1C2=C(CCCC2=O)NC2=C1C(=O)CCC2,Soluble
O=C1N2CCCCCC2=NC1=CC1=CN(N=C1C1=CC=CS1)C1=CC=CC=C1,Soluble
NC(=O)CCSC1=CC=C(Cl)C=C1,Soluble
CCOC1=CC=C(C=C1)C1NC(=O)CC2=CC(OC)=C(OC)C=C12,Soluble
BrC1=CC=C2N=C3N(C(=O)C2=C1)C1=NC2=C(C=CC=C2)C=C1C=C3C#N,Insoluble
COC1=CC=C2N=C3N4C(=O)C5=C(C=C(OC)C(OC)=C5)N=C4C(=CC3=CC2=C1)C#N,Insoluble
CC1=CC=C(C=C1)C1=NN2C=NC3=C(C4=C(S3)C(C)(C)NC(C)(C)C4)C2=N1,Soluble
CC1=NN(CC2=CC=CC=C2)C(=O)C1C(C(C#N)C#N)C1=CC=CC=C1,Soluble
CCCN1C(=NC2=C1C=CC=C2)C(O)C1=CC=C2OCOC2=C1,Soluble
C=CCOC1=CC=C(C=C2SC(=NC2=O)N2CCOCC2)C=C1,Soluble
